image,name,price,rating,reviews
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/e3ed/1a87c26e5471da974646bd8e7a680e3882cd22f4a6ac4a3c9fce202d40f3.jpg,"문화연필 연필 더존, 4B, 12개",4980,None,904
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/3e94/17aa7f1ff4283ccf238e42ef6651307444412d664ff066e17fad67868d58.jpg,"5시 fooi 깎지않는연필 무한 연필 + 예쁜 스티커 무료증정 빠른배송, 02. 블랙",3990,None,208
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/3e94/17aa7f1ff4283ccf238e42ef6651307444412d664ff066e17fad67868d58.jpg,"5시 fooi 깎지않는연필 무한 연필 + 예쁜 스티커 무료증정 빠른배송, 07. 블루",3990,None,208
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/3e94/17aa7f1ff4283ccf238e42ef6651307444412d664ff066e17fad67868d58.jpg,"5시 fooi 깎지않는연필 무한 연필 + 예쁜 스티커 무료증정 빠른배송, 01. 화이트",3990,None,208
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/0aa6/5609570365432b92cfe9bbccdfa0fc91f2ac9a9ad28054069b712ee236da.jpg,"문화연필 연필 더존, HB, 24개",7550,None,904
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/68cc/ef8ec7c19ba1d0fd965619a305bb248aeea4329056a32e6a99d2db6f961d.jpg,"문화연필 더존 B, 혼합 색상, 36개입",8550,5,319
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/68cc/ef8ec7c19ba1d0fd965619a305bb248aeea4329056a32e6a99d2db6f961d.jpg,"문화연필 더존 B, 혼합 색상, 48개입",9570,5,319
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/ea29/ec280c6429a30ce1ff7ac83824b3c1838820e33161d30d657998003580d0.jpg,"문화연필 더존 2B, 60개입",15090,None,569
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/ea29/ec280c6429a30ce1ff7ac83824b3c1838820e33161d30d657998003580d0.jpg,"문화연필 더존 2B, 48개입",12130,None,569
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/3e94/17aa7f1ff4283ccf238e42ef6651307444412d664ff066e17fad67868d58.jpg,"5시 fooi 깎지않는연필 무한 연필 + 예쁜 스티커 무료증정 빠른배송, 03. 퍼플",3990,None,208
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/68cc/ef8ec7c19ba1d0fd965619a305bb248aeea4329056a32e6a99d2db6f961d.jpg,"문화연필 더존 B, 혼합 색상, 12개입",4000,5,319
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/ea29/ec280c6429a30ce1ff7ac83824b3c1838820e33161d30d657998003580d0.jpg,"문화연필 더존 2B, 24개입",6190,None,569
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/b3c0/48f05c62a0c1b9943a249178d4701ce731d2a4c1756c111d3c0d1b030217.jpg,"동아 오피스연필 B, 36개",8400,5,642
